Type, Model, Make, ModelYear, Price, Color, FuelType, Mileage, Mass, Cylinders, GasTankCapacity, StartType
Truck, Toyota, Takuma, 2000, 100000.000000, WHITE, DIESEL, 50000.000000, 2.000000, 12, 25.000000, KEYSTART
MotorBike, BMW, G310, 2014, 35000.000000, BLACK, GASOLINE, 3000.000000, 0.100000, 4, 10.000000, KICKSTART
Car, Nissan, Sentra, 2018, 18000.000000, RED, GASOLINE, 1000.000000, 0.300000, 6, 14.000000, PUSHSTART
SUV, Nissan, Pathfinder, 2023, 32000.000000, YELLOW, GASOLINE, 6000.000000, 0.500000, 8, 20.000000, PUSHSTART
Car, Honda, Civic, 2024, 18000.000000, GRAY, ELECTRIC, 50000.000000, 0.250000, 6, 14.000000, PUSHSTART
SUV, Honda, Pilot, 2015, 35000.000000, BLACK, HYBRID, 93500.000000, 0.450000, 6, 14.000000, PUSHSTART
MotorBike, Yamaha, R15, 2020, 16000.000000, BLUE, GASOLINE, 1200.000000, 0.100000, 4, 20.000000, KICKSTART
Truck, Volvo, VNL300, 2022, 120000.000000, WHITE, DIESEL, 18000.000000, 5.000000, 16, 50.000000, KEYSTART
SUV, Toyota, Highlander, 2023, 38000.000000, BROWN, DIESEL, 15000.000000, 0.500000, 6, 20.000000, PUSHSTART
SUV, Nissan, Armada, 2018, 35000.000000, WHITE, GASOLINE, 24000.000000, 0.400000, 6, 20.000000, PUSHSTART
Car, Toyota, Camry, 2023, 18000.000000, WHITE, GASOLINE, 100.000000, 0.250000, 6, 16.000000, PUSHSTART
